Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
灰雁(馴化),Anser anser (Domestic type),,domestic,,,
鴻雁(馴化),Anser cygnoides (Domestic type),,domestic,,,
家鵝(馴化),Anser sp. (Domestic type),,domestic,,,
疣鼻棲鴨(薑母鴨)(野化),Cairina moschata (Established Feral),,domestic,,,
疣鼻棲鴨(薑母鴨)(馴化),Cairina moschata (Domestic type),,domestic,,,
綠頭鴨(馴化),Anas platyrhynchos (Domestic type),,domestic,,,
普通珠雞(馴化),Numida meleagris (Domestic type),,domestic,,,
火雞(馴化),Meleagris gallopavo (Domestic type),,domestic,,,
藍孔雀(馴化),Pavo cristatus (Domestic type),,domestic,,,
野鴿(野化),Columba livia (Feral Pigeon),,domestic,,,
雞尾鸚鵡(馴化),Nymphicus hollandicus (Domestic type),,domestic,,,
虎皮鸚鵡(馴化),Melopsittacus undulatus (Domestic type),,domestic,,,
中杓鷸(白腰群),Numenius phaeopus phaeopus/alboaxillaris/variegatus,,form,,,
小黑背鷗(taimyrensis),Larus fuscus taimyrensis,,form,,,
白喉林鶯(curruca/blythi/halimodendri),Curruca curruca curruca/blythi/halimodendri,,form,,,
白喉林鶯(curruca/minula),Curruca curruca curruca/minula,,form,,,
白喉林鶯(minula/margelanica),Curruca curruca minula/margelanica,,form,,,
白喉林鶯(curruca /althaea),Curruca curruca curruca/althaea,,form,,,
白喉林鶯(curruca/minula/althaea),Curruca curruca curruca/minula/althaea,,form,,,
西方黃鶺鴒(lutea/flavissima),Motacilla flava lutea/flavissima,,form,,,
西方黃鶺鴒(flava/beema),Motacilla flava flava/beema,,form,,,
灰x鴻雁(馴化)(雜交),Anser anser x cygnoides (Domestic type),,hybrid,,,
家鵝x加拿大雁(雜交),Anser sp. (Domestic type) x Branta canadensis,,hybrid,,,
琵嘴x赤膀鴨(雜交),Spatula clypeata x Mareca strepera,,hybrid,,,
赤膀x赤頸鴨(雜交),Mareca strepera x penelope,,hybrid,,,
赤頸x葡萄胸鴨(雜交),Mareca penelope x americana,,hybrid,,,
疣鼻棲x綠頭鴨(雜交),Cairina moschata x Anas platyrhynchos,,hybrid,,,
琵嘴x綠頭鴨(雜交),Spatula clypeata x Anas platyrhynchos,,hybrid,,,
赤膀x綠頭鴨(雜交),Mareca strepera x Anas platyrhynchos,,hybrid,,,
赤頸x綠頭鴨(雜交),Mareca penelope x Anas platyrhynchos,,hybrid,,,
綠頭x花嘴鴨(雜交),Anas platyrhynchos x zonorhyncha,,hybrid,,,
巴x尖尾鴨(雜交),Sibirionetta formosa x Anas acuta,,hybrid,,,
綠頭x尖尾鴨(雜交),Anas platyrhynchos x acuta,,hybrid,,,
赤膀x小水鴨(雜交),Mareca strepera x Anas crecca,,hybrid,,,
綠頭x小水鴨(雜交),Anas platyrhynchos x crecca,,hybrid,,,
尖尾x小水鴨(雜交),Anas acuta x crecca,,hybrid,,,
白眼x青頭潛鴨(雜交),Aythya nyroca x baeri,,hybrid,,,
紅頭x鳳頭潛鴨(雜交),Aythya ferina x fuligula,,hybrid,,,
白眼x鳳頭潛鴨(雜交),Aythya nyroca x fuligula,,hybrid,,,
鳳頭x斑背潛鴨(雜交),Aythya fuligula x marila,,hybrid,,,
川x紅胸秋沙(雜交),Mergus merganser x serrator,,hybrid,,,
沙丘x灰鶴(雜交),Antigone canadensis x Grus grus,,hybrid,,,
灰x白頭鶴(雜交),Grus grus x monacha,,hybrid,,,
銀鷗 x小黑背鷗(雜交),Larus argentatus x fuscus,,hybrid,,,
銀鷗x灰背鷗(雜交),Larus argentatus x schistisagus,,hybrid,,,
銀x北極鷗(雜交),Larus argentatus x hyperboreus,,hybrid,,,
灰背x北極鷗(雜交),Larus schistisagus x hyperboreus,,hybrid,,,
紅x燕鷗(雜交),Sterna dougallii x hirundo,,hybrid,,,
鳳頭燕鷗x黑嘴端鳳頭燕鷗(雜交),Thalasseus bergii x bernsteini,,hybrid,,,
黑背x黑腳信天翁(雜交),Phoebastria immutabilis x nigripes,,hybrid,,,
藍臉x白腹鰹鳥(雜交),Sula dactylatra x leucogaster,,hybrid,,,
白x黑面琵鷺(雜交),Platalea leucorodia x minor,,hybrid,,,
虎紋x紅尾伯勞(雜交),Lanius tigrinus x cristatus,,hybrid,,,
灰沙燕x家燕(雜交),Riparia riparia x Hirundo rustica,,hybrid,,,
家燕x金腰燕(雜交),Hirundo rustica x Cecropis daurica,,hybrid,,,
雜頭翁,Pycnonotus taivanus x sinensis,,hybrid,,,
台灣x大陸畫眉(雜交),Garrulax canorus x taewanus,,hybrid,,,
黑頸x赤頸鶇(雜交),Turdus atrogularis x ruficollis,,hybrid,,,
斑點x紅尾鶇(雜交),Turdus eunomus x naumanni,,hybrid,,,
西方黃鶺鴒x黃頭鶺鴒(雜交),Motacilla flava x citreola,,hybrid,,,
黑頭x褐頭鵐(雜交),Emberiza melanocephala x bruniceps,,hybrid,,,
小水鴨(crecca x carolinensis),Anas crecca crecca x carolinensis,,intergrade,,,
燕鷗(hirundo/tibetana x longipennis),Sterna hirundo hirundo/tibetana x longipennis,,intergrade,,,
藍磯鶇(藍腹x栗腹),Monticola solitarius pandoo x philippensis,,intergrade,,,
灰雁(rubrirostris),Anser anser rubrirostris,,issf,,,
白額雁(albifrons),Anser albifrons albifrons,,issf,,,
黑雁(黑腹),Branta bernicla nigricans,,issf,,,
小天鵝(東亞),Cygnus columbianus bewickii,,issf,,,
赤膀鴨(strepera),Mareca strepera strepera,,issf,,,
小水鴨(crecca),Anas crecca crecca,,issf,,,
小水鴨(carolinensis),Anas crecca carolinensis,,issf,,,
川秋沙(merganser/orientalis),Mergus merganser merganser/orientalis,,issf,,,
環頸雉(colchicus群),Phasianus colchicus [colchicus Group],,issf,,,
環頸雉(versicolor群),Phasianus colchicus [versicolor Group],,issf,,,
小鸊鷉(ruficollis群),Tachybaptus ruficollis [ruficollis Group],,issf,,,
灰斑鳩(decaocto),Streptopelia decaocto decaocto,,issf,,,
灰斑鳩(xanthocycla),Streptopelia decaocto xanthocycla,,issf,,,
珠頸斑鳩(chinensis/tigrina),Streptopelia chinensis chinensis/tigrina,,issf,,,
紅頭綠鳩(permagnus/medioximus),Treron formosae permagnus/medioximus,,issf,,,
紅頭綠鳩(formosae/filipinus),Treron formosae formosae/filipinus,,issf,,,
褐翅鴉鵑(sinensis群),Centropus sinensis [sinensis Group],,issf,,,
短嘴金絲燕(brevirostris/innominatus),Aerodramus brevirostris brevirostris/innominatus,,issf,,,
短嘴金絲燕(rogersi),Aerodramus brevirostris rogersi,,issf,,,
小秧雞(東方),Zapornia pusilla pusilla,,issf,,,
蠣鴴(osculans),Haematopus ostralegus osculans,,issf,,,
蒙古鴴(atrifrons群),Charadrius mongolus [atrifrons Group],,issf,,,
蒙古鴴(mongolus/stegmanni),Charadrius mongolus mongolus/stegmanni,,issf,,,
東方環頸鴴(alexandrinus/nihonensis),Charadrius alexandrinus alexandrinus/nihonensis,,issf,,,
東方環頸鴴(seebhomi),Charadrius alexandrinus seebohmi,,issf,,,
小環頸鴴(curonicus),Charadrius dubius curonicus,,issf,,,
小環頸鴴(dubius/jerdoni),Charadrius dubius dubius/jerdoni,,issf,,,
中杓鷸(variegatus),Numenius phaeopus variegatus/rogachevae,,issf,,,
中杓鷸 (Hudsonian),Numenius phaeopus hudsonicus,,issf,,,
斑尾鷸(baueri/menzbieri),Limosa lapponica baueri/menzbieri,,issf,,,
黑尾鷸(melanuroides),Limosa limosa melanuroides,,issf,,,
黑腹濱鷸(pacifica/arcticola),Calidris alpina pacifica/arcticola,,issf,,,
黑腹濱鷸(sakhalina群),Calidris alpina [sakhalina Group],,issf,,,
三趾鷗(pollicaris),Rissa tridactyla pollicaris,,issf,,,
紐澳紅嘴鷗(novaehollandiae/forsteri),Chroicocephalus novaehollandiae novaehollandiae/forsteri,,issf,,,
紐澳紅嘴鷗(scopulinus),Chroicocephalus novaehollandiae scopulinus,,issf,,,
海鷗(canus),Larus canus canus,,issf,,,
海鷗(heinei),Larus canus heinei,,issf,,,
海鷗(kamtschatschensis),Larus canus kamtschatschensis,,issf,,,
織女銀鷗,Larus argentatus vegae,,issf,,,
蒙古銀鷗,Larus argentatus mongolicus,,issf,,,
小黑背鷗(heuglini),Larus fuscus heuglini,,issf,,,
黑玄燕鷗(americanus),Anous minutus americanus,,issf,,,
黑玄燕鷗(melanogenys),Anous minutus melanogenys,,issf,,,
黑玄燕鷗(minutus群),Anous minutus [minutus Group],,issf,,,
鷗嘴燕鷗(nilotica群),Gelochelidon nilotica [nilotica Group],,issf,,,
黑浮鷗(niger),Chlidonias niger niger,,issf,,,
燕鷗(hirundo/tibetana),Sterna hirundo hirundo/tibetana,,issf,,,
燕鷗(longipennis),Sterna hirundo longipennis,,issf,,,
白嘴端燕鷗(sandvicensis),Thalasseus sandvicensis sandvicensis,,issf,,,
白尾熱帶鳥(dorotheae),Phaethon lepturus dorotheae,,issf,,,
白腰叉尾海燕(leucorhoa),Hydrobates leucorhous leucorhous,,issf,,,
暴風?(rodgersii),Fulmarus glacialis rodgersii,,issf,,,
白斑軍艦鳥(ariel/iredalei),Fregata ariel ariel/iredalei,,issf,,,
白腹鰹鳥(brewsteri),Sula leucogaster brewsteri,,issf,,,
白腹鰹鳥(plotus),Sula leucogaster plotus,,issf,,,
紅腳鰹鳥(rubripes),Sula sula rubripes,,issf,,,
鸕鷀(sinensis/hanedae),Phalacrocorax carbo sinensis/hanedae,,issf,,,
蒼鷺(cinerea/jouyi),Ardea cinerea cinerea/jouyi,,issf,,,
紫鷺(purpurea群),Ardea purpurea [purpurea Group],,issf,,,
大白鷺(alba),Ardea alba alba,,issf,,,
大白鷺(modesta),Ardea alba modesta,,issf,,,
中白鷺(intermedia),Ardea intermedia intermedia,,issf,,,
小白鷺(garzetta),Egretta garzetta garzetta,,issf,,,
黃頭鷺(coromandus),Bubulcus ibis coromandus,,issf,,,
綠簑鷺(atricapilla群),Butorides striata [atricapilla Group],,issf,,,
夜鷺(nycticorax),Nycticorax nycticorax nycticorax,,issf,,,
魚鷹(haliaetus),Pandion haliaetus haliaetus,,issf,,,
黑翅鳶(vociferus群),Elanus caeruleus [vociferus Group],,issf,,,
東方蜂鷹(orientalis),Pernis ptilorhynchus orientalis,,issf,,,
大冠鷲(cheela群),Spilornis cheela [cheela Group],,issf,,,
褐耳鷹(badius群),Accipiter badius [badius Group],,issf,,,
蒼鷹(gentilis群),Accipiter gentilis [gentilis Group],,issf,,,
黑鳶(黑耳),Milvus migrans lineatus/formosanus,,issf,,,
歐亞鵟(vulpinus),Buteo buteo vulpinus/menetriesi,,issf,,,
東方角鴞(sunia群),Otus sunia [sunia Group],,issf,,,
縱紋腹小鴞(noctua群),Athene noctua [noctua Group],,issf,,,
褐林鴞(indranee群),Strix leptogrammica [indranee Group],,issf,,,
長耳鴞(otus/canariensis),Asio otus otus/canariensis,,issf,,,
短耳鴞(flammeus),Asio flammeus flammeus,,issf,,,
戴勝(epops群),Upupa epops [epops Group],,issf,,,
翠鳥(atthis群),Alcedo atthis [atthis Group],,issf,,,
白領翡翠(chloris群),Todiramphus chloris [chloris Group],,issf,,,
大赤啄木(leucotos群),Dendrocopos leucotos [leucotos Group],,issf,,,
綠啄木(guerini群),Picus canus [guerini Group],,issf,,,
紅隼(tinnunculus群),Falco tinnunculus [tinnunculus Group],,issf,,,
灰背隼(aesalon群),Falco columbarius [aesalon Group],,issf,,,
遊隼(calidus/tundrius),Falco peregrinus calidus/tundrius,,issf,,,
遊隼(peregrinus群),Falco peregrinus [peregrinus Group],,issf,,,
遊隼(peregrinator),Falco peregrinus peregrinator,,issf,,,
遊隼(ernesti/nesiotes),Falco peregrinus ernesti/nesiotes,,issf,,,
綠胸八色鳥(sordida/palawanensis),Pitta sordida sordida/palawanensis,,issf,,,
灰喉山椒鳥(solaris群),Pericrocotus solaris [solaris Group],,issf,,,
赤紅山椒鳥(speciosus群),Pericrocotus speciosus [speciosus Group],,issf,,,
赤紅山椒鳥(leytensis/novus),Pericrocotus speciosus leytensis/novus,,issf,,,
赤紅山椒鳥(marchesae群),Pericrocotus speciosus [marchesae Group],,issf,,,
赤紅山椒鳥(exul/siebersi),Pericrocotus speciosus exul/siebersi,,issf,,,
花翅山椒鳥(nipalensis群),Coracina macei [nipalensis Group],,issf,,,
黃鸝(diffusus),Oriolus chinensis diffusus,,issf,,,
灰卷尾(白臉),Dicrurus leucophaeus [innexus Group],,issf,,,
髮冠卷尾(hottentottus/brevirostris),Dicrurus hottentottus hottentottus/brevirostris,,issf,,,
荒漠伯勞(isabellinus),Lanius isabellinus isabellinus,,issf,,,
荒漠伯勞(arenarius/tsaidamensis),Lanius isabellinus arenarius/tsaidamensis,,issf,,,
紅尾伯勞(cristatus/confusus),Lanius cristatus cristatus/confusus,,issf,,,
紅尾伯勞(日本),Lanius cristatus superciliosus,,issf,,,
紅尾伯勞(灰頭),Lanius cristatus lucionensis,,issf,,,
棕背伯勞(schach),Lanius schach schach,,issf,,,
西方灰伯勞(Steppe),Lanius excubitor pallidirostris,,issf,,,
松鴉(bispecularis群),Garrulus glandarius [bispecularis Group],,issf,,,
西方喜鵲(pica群),Pica pica [pica Group],,issf,,,
星鴉(hemispila群),Nucifraga caryocatactes [hemispila Group],,issf,,,
小嘴烏鴉(corone),Corvus corone corone,,issf,,,
小嘴烏鴉(orientalis),Corvus corone orientalis,,issf,,,
巨嘴鴉(macrorhynchos群),Corvus macrorhynchos [macrorhynchos Group],,issf,,,
煤山雀(ptilosus/kuatunensis),Periparus ater ptilosus/kuatunensis,,issf,,,
歐亞雲雀(arvensis群),Alauda arvensis [arvensis Group],,issf,,,
歐亞雲雀(pekinensis群),Alauda arvensis [pekinensis Group],,issf,,,
歐亞雲雀(japonica/intermedia),Alauda arvensis japonica/intermedia,,issf,,,
灰頭鷦鶯(sonitans),Prinia flaviventris sonitans,,issf,,,
棕扇尾鶯(juncidis群),Cisticola juncidis [juncidis Group],,issf,,,
棕扇尾鶯(tinnabulans群),Cisticola juncidis [tinnabulans Group],,issf,,,
棕扇尾鶯(brunniceps),Cisticola juncidis brunniceps,,issf,,,
家燕(tytleri),Hirundo rustica tytleri,,issf,,,
家燕(gutturalis/mandschurica),Hirundo rustica gutturalis/mandschurica,,issf,,,
金腰燕(daurica群),Cecropis daurica [daurica Group],,issf,,,
白腹毛腳燕(lagopodum),Delichon urbicum lagopodum,,issf,,,
白頭翁(中國),Pycnonotus sinensis sinensis,,issf,,,
白頭翁(海南),Pycnonotus sinensis hainanus,,issf,,,
白頭翁(formosae/orii),Pycnonotus sinensis formosae/orii,,issf,,,
紅嘴黑鵯(白頭),Hypsipetes leucocephalus [leucocephalus Group],,issf,,,
紅嘴黑鵯(台灣),Hypsipetes leucocephalus nigerrimus,,issf,,,
嘰喳柳鶯(tristis),Phylloscopus collybita tristis,,issf,,,
小鶯(台灣),Horornis fortipes robustipes,,issf,,,
紅頭山雀(concinnus群),Aegithalos concinnus [concinnus Group],,issf,,,
白喉林鶯(curruca/blythi),Curruca curruca curruca/blythi,,issf,,,
白喉林鶯(halimodendri),Curruca curruca halimodendri,,issf,,,
白喉林鶯(minula),Curruca curruca minula,,issf,,,
白喉林鶯(margelanica),Curruca curruca margelanica,,issf,,,
白喉林鶯(althaea),Curruca curruca althaea,,issf,,,
戴菊鳥(Asian),Regulus regulus [himalayensis Group],,issf,,,
茶腹鳾(sinensis/formosana),Sitta europaea sinensis/formosana,,issf,,,
鷦鷯(troglodytes群),Troglodytes troglodytes [troglodytes Group],,issf,,,
虎斑地鶇(指名亞種/小虎鶇),Zoothera dauma dauma,,issf,,,
橙頭地鶇(aurimacula群),Geokichla citrina [aurimacula Group],,issf,,,
斑鶲(striata群),Muscicapa striata [striata Group],,issf,,,
黃腹琉璃(台灣),Niltava vivida vivida,,issf,,,
日本歌鴝(akahige/rishirensis),Larvivora akahige akahige/rishirensis,,issf,,,
琉球歌鴝(komadori/subrufus),Larvivora komadori komadori/subrufus,,issf,,,
琉球歌鴝(namiyei),Larvivora komadori namiyei,,issf,,,
藍喉鴝(svecica群),Luscinia svecica [svecica Group],,issf,,,
白斑紫嘯鶇(黑嘴),Myophonus caeruleus caeruleus,,issf,,,
白斑紫嘯鶇(黃嘴),Myophonus caeruleus [flavirostris Group],,issf,,,
白尾鴝(leucura/montium),Myiomela leucura leucura/montium,,issf,,,
赭紅尾鴝(亞洲),Phoenicurus ochruros [ochruros Group],,issf,,,
藍磯鶇(solitarius/longirostris),Monticola solitarius solitarius/longirostris,,issf,,,
藍磯鶇(藍腹),Monticola solitarius pandoo,,issf,,,
藍磯鶇(栗腹),Monticola solitarius philippensis,,issf,,,
穗?(oenanthe/libanotica),Oenanthe oenanthe oenanthe/libanotica,,issf,,,
紅胸啄花(ignipectus群),Dicaeum ignipectus [ignipectus Group],,issf,,,
叉尾太陽鳥(latouchii/sokolovi),Aethopyga christinae latouchii/sokolovi,,issf,,,
斑文鳥(nisoria群),Lonchura punctulata [nisoria Group],,issf,,,
黑頭文鳥(formosana),Lonchura atricapilla formosana,,issf,,,
西方黃鶺鴒(lutea),Motacilla flava lutea,,issf,,,
西方黃鶺鴒(灰頭),Motacilla flava thunbergi,,issf,,,
東方黃鶺鴒(白眉),Motacilla tschutschensis tschutschensis/plexa,,issf,,,
東方黃鶺鴒(黃眉),Motacilla tschutschensis taivana,,issf,,,
東方黃鶺鴒(藍頭),Motacilla tschutschensis macronyx,,issf,,,
黃頭鶺鴒(citreola/werae),Motacilla citreola citreola/werae,,issf,,,
白鶺鴒(指名亞種群),Motacilla alba alba/dukhunensis,,issf,,,
白鶺鴒(灰背眼紋),Motacilla alba ocularis,,issf,,,
白鶺鴒(黑臉),Motacilla alba personata,,issf,,,
白鶺鴒(貝加爾),Motacilla alba baicalensis,,issf,,,
白鶺鴒(黑背眼紋),Motacilla alba lugens,,issf,,,
白鶺鴒(白面),Motacilla alba leucopsis,,issf,,,
白背鷚(gustavi/stejnegeri),Anthus gustavi gustavi/stejnegeri,,issf,,,
白背鷚(menzbieri),Anthus gustavi menzbieri,,issf,,,
水鷚(blakistoni),Anthus spinoletta blakistoni,,issf,,,
黃腹鷚(japonicus),Anthus rubescens japonicus,,issf,,,
褐鷽(nipalensis群),Pyrrhula nipalensis [nipalensis Group],,issf,,,
歐亞鷽(pyrrhula群),Pyrrhula pyrrhula [pyrrhula Group],,issf,,,
歐亞鷽(griseiventris群),Pyrrhula pyrrhula [griseiventris Group],,issf,,,
普通朱頂雀(flammea),Acanthis flammea flammea,,issf,,,
紅交嘴雀(himalayensis),Loxia curvirostra himalayensis,,issf,,,
紅交嘴雀(japonica),Loxia curvirostra japonica,,issf,,,
黑臉鵐(spodocephala/sordida),Emberiza spodocephala spodocephala/sordida,,issf,,,
黑臉鵐(personata),Emberiza spodocephala personata,,issf,,,
白額/小白額雁,Anser albifrons/erythropus,,slash,,,
寒林/凍原豆雁,Anser fabalis/serrirostris,,slash,,,
小/加拿大雁,Branta hutchinsii/canadensis,,slash,,,
小/黃嘴天鵝,Cygnus columbianus/cygnus,,slash,,,
赤頸/葡萄胸鴨,Mareca penelope/americana,,slash,,,
印度/花嘴鴨,Anas poecilorhyncha/zonorhyncha,,slash,,,
白眉/小水鴨,Spatula querquedula/Anas crecca,,slash,,,
白眼/青頭潛鴨,Aythya nyroca/baeri,,slash,,,
斑背/小斑背潛鴨,Aythya marila/affinis,,slash,,,
川/紅胸秋沙,Mergus merganser/serrator,,slash,,,
美洲?鸛/大?鸛,Phoenicopterus ruber/roseus,,slash,,,
角/黑頸鸊鷉,Podiceps auritus/nigricollis,,slash,,,
灰斑鳩/紅鳩,Streptopelia decaocto/tranquebarica,,slash,,,
烏/方尾烏鵑,Surniculus dicruroides/lugubris,,slash,,,
小/四聲杜鵑,Cuculus poliocephalus/micropterus,,slash,,,
小/北方中杜鵑,Cuculus poliocephalus/optatus,,slash,,,
喜馬拉雅/北方中杜鵑,Cuculus saturatus/optatus,,slash,,,
大/北方中杜鵑,Cuculus canorus/optatus,,slash,,,
叉尾/庫克氏雨燕,Apus pacificus/cooki,,slash,,,
西方/東亞秧雞,Rallus aquaticus/indicus,,slash,,,
美洲/太平洋金斑鴴,Pluvialis dominica/fulva,,slash,,,
蒙古/鐵嘴鴴,Charadrius mongolus/leschenaultii,,slash,,,
東方環頸鴴/白臉鴴,Charadrius alexandrinus/dealbatus,,slash,,,
環頸鴴/小環頸鴴,Charadrius hiaticula/dubius,,slash,,,
中/大杓鷸,Numenius phaeopus/arquata,,slash,,,
黦鷸/大杓鷸,Numenius madagascariensis/arquata,,slash,,,
斑尾/黑尾鷸,Limosa lapponica/limosa,,slash,,,
大/紅腹濱鷸,Calidris tenuirostris/canutus,,slash,,,
彎嘴/黑腹濱鷸,Calidris ferruginea/alpina,,slash,,,
紅胸/小濱鷸,Calidris ruficollis/minuta,,slash,,,
尖尾/美洲尖尾濱鷸,Calidris acuminata/melanotos,,slash,,,
田/針尾鷸,Gallinago gallinago/stenura,,slash,,,
針尾鷸/中地鷸,Gallinago stenura/megala,,slash,,,
紅領/灰瓣足鷸,Phalaropus lobatus/fulicarius,,slash,,,
黃足鷸/美洲黃足鷸,Tringa brevipes/incana,,slash,,,
青足鷸/諾氏鷸,Tringa nebularia/guttifer,,slash,,,
鶴鷸/赤足鷸,Tringa erythropus/totanus,,slash,,,
中/短尾賊鷗,Stercorarius pomarinus/parasiticus,,slash,,,
中/長尾賊鷗,Stercorarius pomarinus/longicaudus,,slash,,,
短尾/長尾賊鷗,Stercorarius parasiticus/longicaudus,,slash,,,
細嘴鷗/紅嘴鷗,Chroicocephalus genei/ridibundus,,slash,,,
紅嘴鷗/棕頭鷗,Chroicocephalus ridibundus/brunnicephalus,,slash,,,
笑鷗/弗氏鷗,Leucophaeus atricilla/pipixcan,,slash,,,
銀鷗/黃腳銀鷗,Larus argentatus/michahellis,,slash,,,
黃腳/裏海銀鷗,Larus michahellis/cachinnans,,slash,,,
銀鷗/小黑背鷗,Larus argentatus/fuscus,,slash,,,
黃腳/小黑背鷗,Larus michahellis/fuscus,,slash,,,
玄/黑玄燕鷗,Anous stolidus/minutus,,slash,,,
烏領/白眉燕鷗,Onychoprion fuscatus/anaethetus,,slash,,,
紅嘴/紅尾熱帶鳥,Phaethon aethereus/rubricauda,,slash,,,
黑喉/太平洋潛鳥,Gavia arctica/pacifica,,slash,,,
灰/短尾水薙鳥,Ardenna grisea/tenuirostris,,slash,,,
鸕鷀/丹氏鸕鷀,Phalacrocorax carbo/capillatus,,slash,,,
秋/栗小鷺,Ixobrychus eurhythmus/cinnamomeus,,slash,,,
蒼/紫鷺,Ardea cinerea/purpurea,,slash,,,
大/中白鷺,Ardea alba/intermedia,,slash,,,
中白/黃頭鷺,Ardea intermedia/Bubulcus ibis,,slash,,,
夜鷺/棕夜鷺,Nycticorax nycticorax/caledonicus,,slash,,,
麻鷺/黑冠麻鷺,Gorsachius goisagi/melanolophus,,slash,,,
埃及/馬島聖䴉,Threskiornis aethiopicus/bernieri,,slash,,,
西方/東方澤鵟,Circus aeruginosus/spilonotus,,slash,,,
東方/巴布亞澤鵟,Circus spilonotus/spilothorax,,slash,,,
日本松雀鷹/松雀鷹,Accipiter gularis/virgatus,,slash,,,
鳳頭蒼鷹/松雀鷹,Accipiter trivirgatus/virgatus,,slash,,,
歐亞/喜馬拉雅/東方鵟,Buteo buteo/refectus/japonicus,,slash,,,
長/短耳鴞,Asio otus/flammeus,,slash,,,
黑背/赤背三趾翠鳥,Ceyx erithaca/rufidorsa,,slash,,,
黃爪隼/紅隼,Falco naumanni/tinnunculus,,slash,,,
紅腳隼/燕隼,Falco amurensis/subbuteo,,slash,,,
琉球/灰山椒鳥,Pericrocotus tegimae/divaricatus,,slash,,,
灰/小灰山椒鳥,Pericrocotus divaricatus/cantonensis,,slash,,,
大/灰卷尾,Dicrurus macrocercus/leucophaeus,,slash,,,
紫/阿穆爾綬帶,Terpsiphone atrocaudata/incei,,slash,,,
阿穆爾/布氏/印度綬帶,Terpsiphone incei/affinis/paradisi,,slash,,,
赤腹/雜色山雀,Sittiparus castaneoventris/varius,,slash,,,
大/賽氏短趾百靈,Calandrella brachydactyla/dukhunensis,,slash,,,
賽氏/細嘴短趾百靈,Calandrella dukhunensis/acutirostris,,slash,,,
歐亞/小雲雀,Alauda arvensis/gulgula,,slash,,,
棕/黃頭扇尾鶯,Cisticola juncidis/exilis,,slash,,,
稻田/布氏葦鶯,Acrocephalus agricola/dumetorum,,slash,,,
蒼眉/庫頁島蝗鶯,Helopsaltes fasciolatus/amnicola,,slash,,,
北/史氏蝗鶯,Helopsaltes ochotensis/pleskei,,slash,,,
棕/灰沙燕,Riparia chinensis/riparia,,slash,,,
灰/淺灰沙燕,Riparia riparia/diluta,,slash,,,
家/洋燕,Hirundo rustica/tahitica,,slash,,,
金腰/赤腰燕,Cecropis daurica/striolata,,slash,,,
白腹/東方毛腳燕,Delichon urbicum/dasypus,,slash,,,
烏頭/白頭翁,Pycnonotus taivanus/sinensis,,slash,,,
黃眉/淡眉柳鶯,Phylloscopus inornatus/humei,,slash,,,
巨嘴/褐色柳鶯,Phylloscopus schwarzi/fuscatus,,slash,,,
巨嘴/棕眉/褐色柳鶯,Phylloscopus schwarzi/armandii/fuscatus,,slash,,,
歐亞/嘰喳柳鶯,Phylloscopus trochilus/collybita,,slash,,,
暗綠/雙斑綠柳鶯,Phylloscopus trochiloides/plumbeitarsus,,slash,,,
淡腳/庫頁島柳鶯,Phylloscopus tenellipes/borealoides,,slash,,,
日本/極北柳鶯,Phylloscopus xanthodryas/borealis,,slash,,,
極北/勘察加柳鶯,Phylloscopus borealis/examinandus,,slash,,,
日本/極北/勘察加柳鶯,Phylloscopus xanthodryas/borealis/examinandus,,slash,,,
克氏/哈氏/布氏冠紋柳鶯,Phylloscopus reguloides/claudiae/goodsoni,,slash,,,
日本/遠東樹鶯,Horornis diphone/canturians,,slash,,,
小/深山鶯,Horornis fortipes/acanthizoides,,slash,,,
斯氏/日菲繡眼,Zosterops simplex/japonicus,,slash,,,
台灣/大陸畫眉,Garrulax canorus/taewanus,,slash,,,
北/小椋鳥,Agropsar sturninus/philippensis,,slash,,,
白氏/虎斑地鶇,Zoothera aurea/dauma,,slash,,,
褐頭/白眉鶇,Turdus feae/obscurus,,slash,,,
斑點/紅尾鶇,Turdus eunomus/naumanni,,slash,,,
灰斑鶲/烏鶲,Muscicapa griseisticta/sibirica,,slash,,,
白腹琉璃/琉璃藍鶲,Cyanoptila cyanomelana/cumatilis,,slash,,,
白眉/栗背林鴝,Tarsiger indicus/johnstoniae,,slash,,,
白眉鶲/綠背姬鶲/黃眉黃鶲/琉球姬鶲,Ficedula zanthopygia/elisae/narcissina/owstoni,,slash,,,
黃眉黃鶲/琉球姬鶲,Ficedula narcissina/owstoni,,slash,,,
紅喉/紅胸鶲,Ficedula albicilla/parva,,slash,,,
西方/東方黃鶺鴒,Motacilla flava/tschutschensis,,slash,,,
大花/稻田鷚,Anthus richardi/rufulus,,slash,,,
大花/布萊氏鷚,Anthus richardi/godlewskii,,slash,,,
草地/林鷚,Anthus pratensis/trivialis,,slash,,,
林/樹鷚,Anthus trivialis/hodgsoni,,slash,,,
草地/水鷚,Anthus pratensis/spinoletta,,slash,,,
水/黃腹鷚,Anthus spinoletta/rubescens,,slash,,,
褐/灰鷽,Pyrrhula nipalensis/erythaca,,slash,,,
黑頭/褐頭鵐,Emberiza melanocephala/bruniceps,,slash,,,
圃鵐,Emberiza buchanani/hortulana,,slash,,,
葦/蘆鵐,Emberiza pallasi/schoeniclus,,slash,,,
樹鴨,Dendrocygna javanica,Lesser Whistling-Duck,species,,,
