Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
蒼翡翠,Halcyon smyrnensis,White-throated Kingfisher,species,,,
黑頭翡翠,Halcyon pileata,Black-capped Kingfisher,species,,,
白領翡翠,Todiramphus chloris,Collared Kingfisher,species,1,,1
斑翡翠,Ceryle rudis,Pied Kingfisher,species,,,
藍喉蜂虎,Merops viridis,Blue-throated Bee-eater,species,,,
藍頰蜂虎,Merops persicus,Blue-cheeked Bee-eater,species,,,
栗喉蜂虎,Merops philippinus,Blue-tailed Bee-eater,species,,,
彩虹蜂虎,Merops ornatus,Rainbow Bee-eater,species,,,
佛法僧,Eurystomus orientalis,Dollarbird,species,,,
五色鳥,Psilopogon nuchalis,Taiwan Barbet,species,1,endemic species,1
地啄木,Jynx torquilla,Eurasian Wryneck,species,,,
小啄木,Yungipicus canicapillus,Gray-capped Pygmy Woodpecker,species,1,,1
大赤啄木,Dendrocopos leucotos,White-backed Woodpecker,species,1,endemic subspecies,1
綠啄木,Picus canus,Gray-headed Woodpecker,species,1,,1
黃爪隼,Falco naumanni,Lesser Kestrel,species,,,
紅隼,Falco tinnunculus,Eurasian Kestrel,species,1,,
紅腳隼,Falco amurensis,Amur Falcon,species,,,
灰背隼,Falco columbarius,Merlin,species,,,
燕隼,Falco subbuteo,Eurasian Hobby,species,,,
遊隼,Falco peregrinus,Peregrine Falcon,species,1,,1
戈芬氏鳳頭鸚鵡,Cacatua goffiniana,Tanimbar Corella,species,,,
小葵花鳳頭鸚鵡,Cacatua sulphurea,Yellow-crested Cockatoo,species,,,
葵花鳳頭鸚鵡,Cacatua galerita,Sulphur-crested Cockatoo,species,,,
鮭紅鳳頭鸚鵡,Cacatua moluccensis,Salmon-crested Cockatoo,species,,,
白鳳頭鸚鵡,Cacatua alba,White Cockatoo,species,,,
雞尾鸚鵡,Nymphicus hollandicus,Cockatiel,species,,,
亞歷山大鸚鵡,Psittacula eupatria,Alexandrine Parakeet,species,,,
紅領綠鸚鵡,Psittacula krameri,Rose-ringed Parakeet,species,,,
虎皮鸚鵡,Melopsittacus undulatus,Budgerigar,species,,,
紅色吸蜜鸚鵡,Eos bornea,Red Lory,species,,,
彩虹吸蜜鸚鵡,Trichoglossus moluccanus,Rainbow Lorikeet,species,,,
紅領吸蜜鸚鵡,Trichoglossus rubritorquis,Red-collared Lorikeet,species,,,
費氏愛情鳥,Agapornis fischeri,Fischer's Lovebird,species,,,
灰鸚鵡,Psittacus erithacus,Gray Parrot,species,,,
和尚鸚鵡,Myiopsitta monachus,Monk Parakeet,species,,,
藍翅八色鳥,Pitta moluccensis,Blue-winged Pitta,species,,,
八色鳥,Pitta nympha,Fairy Pitta,species,1,,1
綠胸八色鳥,Pitta sordida,Hooded Pitta,species,,,
灰喉山椒鳥,Pericrocotus solaris,Gray-chinned Minivet,species,1,,1
長尾山椒鳥,Pericrocotus ethologus,Long-tailed Minivet,species,,,
赤紅山椒鳥,Pericrocotus speciosus,Scarlet Minivet,species,,,
琉球山椒鳥,Pericrocotus tegimae,Ryukyu Minivet,species,,,
灰山椒鳥,Pericrocotus divaricatus,Ashy Minivet,species,1,,1
小灰山椒鳥,Pericrocotus cantonensis,Brown-rumped Minivet,species,,,
粉紅山椒鳥,Pericrocotus roseus,Rosy Minivet,species,,,
花翅山椒鳥,Coracina macei,Large Cuckooshrike,species,1,,1
黑原鵑鵙,Lalage nigra,Pied Triller,species,,,
黑翅山椒鳥,Lalage melaschistos,Black-winged Cuckooshrike,species,,,
綠畫眉,Erpornis zantholeuca,White-bellied Erpornis,species,1,,1
黃鸝,Oriolus chinensis,Black-naped Oriole,species,1,,1
朱鸝,Oriolus traillii,Maroon Oriole,species,1,endemic subspecies,1
白胸燕鵙,Artamus leucorynchus,White-breasted Woodswallow,species,,,
菲律賓扇尾鶲,Rhipidura nigritorquis,Philippine Pied-Fantail,species,,,
